experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170907	C10	1	0.416943788	1:50000	NA18855	NA19098	18855_19098	00064
20170907	C11	1	1.164877913	1:50000	NA18855	NA19098	18855_19098	00065
20170907	C12	1	1.127699369	1:50000	NA18855	NA19098	18855_19098	00066
20170907	D01	1	1.878153596	1:50000	NA18855	NA19098	18855_19098	00021
20170907	D02	2	0.819888846	1:50000	NA18855	NA19098	18855_19098	00020
20170907	D03	1	1.637512221	1:50000	NA18855	NA19098	18855_19098	00019
20170907	D04	1	0.888535743	1:50000	NA18855	NA19098	18855_19098	00067
20170907	D05	1	1.114578601	1:50000	NA18855	NA19098	18855_19098	00068
20170907	D06	1	1.480154777	1:50000	NA18855	NA19098	18855_19098	00069
20170907	D07	4	1.068990593	1:50000	NA18855	NA19098	18855_19098	00024
20170907	D08	5	1.334579793	1:50000	NA18855	NA19098	18855_19098	00023
20170907	D09	1	1.83048313	1:50000	NA18855	NA19098	18855_19098	00022
20170907	D10	1	2.093732739	1:50000	NA18855	NA19098	18855_19098	00070
20170907	D11	1	2.126421777	1:50000	NA18855	NA19098	18855_19098	00071
20170907	D12	1	2.172348459	1:50000	NA18855	NA19098	18855_19098	00072
20170907	E01	1	0.621913446	1:50000	NA18855	NA19098	18855_19098	00025
20170907	E02	1	0.901159233	1:50000	NA18855	NA19098	18855_19098	00026
20170907	E03	1	1.303140105	1:50000	NA18855	NA19098	18855_19098	00027
20170907	E04	1	0.963538932	1:50000	NA18855	NA19098	18855_19098	00075
20170907	E05	1	0.920740934	1:50000	NA18855	NA19098	18855_19098	00074
20170907	E06	1	1.908208436	1:50000	NA18855	NA19098	18855_19098	00073
20170907	E07	1	1.72233865	1:50000	NA18855	NA19098	18855_19098	00028
20170907	E08	1	0.651432598	1:50000	NA18855	NA19098	18855_19098	00029
20170907	E09	2	1.184931361	1:50000	NA18855	NA19098	18855_19098	00030
20170907	E10	1	1.956906505	1:50000	NA18855	NA19098	18855_19098	00078
20170907	E11	1	0.232995944	1:50000	NA18855	NA19098	18855_19098	00077
20170907	E12	1	1.972097421	1:50000	NA18855	NA19098	18855_19098	00076
20170907	F01	1	0.448908852	1:50000	NA18855	NA19098	18855_19098	00031
20170907	F02	1	0.619195961	1:50000	NA18855	NA19098	18855_19098	00032
20170907	F03	1	0.554964076	1:50000	NA18855	NA19098	18855_19098	00033
20170907	F04	2	1.200176083	1:50000	NA18855	NA19098	18855_19098	00081
20170907	F05	1	2.151709279	1:50000	NA18855	NA19098	18855_19098	00080
20170907	F06	1	1.60479494	1:50000	NA18855	NA19098	18855_19098	00079
20170907	F07	3	0.514281876	1:50000	NA18855	NA19098	18855_19098	00034
20170907	F08	1	0.611949034	1:50000	NA18855	NA19098	18855_19098	00035
20170907	F09	1	0.358721902	1:50000	NA18855	NA19098	18855_19098	00036
20170907	F10	1	2.199303235	1:50000	NA18855	NA19098	18855_19098	00084
20170907	F11	1	1.938147132	1:50000	NA18855	NA19098	18855_19098	00083
20170907	F12	1	1.797906046	1:50000	NA18855	NA19098	18855_19098	00082
20170907	G01	1	1.417608465	1:50000	NA18855	NA19098	18855_19098	00037
20170907	G02	2	0.750284445	1:50000	NA18855	NA19098	18855_19098	00038
20170907	G03	1	2.210588304	1:50000	NA18855	NA19098	18855_19098	00039
20170907	G04	1	2.052191955	1:50000	NA18855	NA19098	18855_19098	00087
20170907	G05	1	2.430779254	1:50000	NA18855	NA19098	18855_19098	00086
20170907	G06	1	0.549731835	1:50000	NA18855	NA19098	18855_19098	00085
20170907	G07	1	0.979426822	1:50000	NA18855	NA19098	18855_19098	00040
20170907	G08	2	2.043462071	1:50000	NA18855	NA19098	18855_19098	00041
20170907	G09	1	2.118682848	1:50000	NA18855	NA19098	18855_19098	00042
20170907	G10	1	1.168186302	1:50000	NA18855	NA19098	18855_19098	00090
20170907	G11	1	1.373809572	1:50000	NA18855	NA19098	18855_19098	00089
20170907	G12	1	2.306477198	1:50000	NA18855	NA19098	18855_19098	00088
20170907	H01	3	0.977839743	1:50000	NA18855	NA19098	18855_19098	00043
20170907	H02	1	2.434981985	1:50000	NA18855	NA19098	18855_19098	00044
20170907	H03	1	0.538995342	1:50000	NA18855	NA19098	18855_19098	00045
20170907	H04	1	1.544645998	1:50000	NA18855	NA19098	18855_19098	00093
20170907	H05	1	2.021873427	1:50000	NA18855	NA19098	18855_19098	00092
20170907	H06	1	2.044371915	1:50000	NA18855	NA19098	18855_19098	00091
20170907	H07	1	0.894350138	1:50000	NA18855	NA19098	18855_19098	00046
20170907	H08	1	0.495470936	1:50000	NA18855	NA19098	18855_19098	00047
20170907	H09	0	0.537108177	1:50000	NA18855	NA19098	18855_19098	00048
20170907	H10	1	1.804099466	1:50000	NA18855	NA19098	18855_19098	00096
20170907	H11	1	2.317446055	1:50000	NA18855	NA19098	18855_19098	00095
20170907	H12	1	0.413244477	1:50000	NA18855	NA19098	18855_19098	00094
20170908	A01	1	1.989086544	1:50000	NA18870	NA19101	18870_19101	00003
20170908	A02	1	1.528944505	1:50000	NA18870	NA19101	18870_19101	00002
20170908	A03	1	2.334952449	1:50000	NA18870	NA19101	18870_19101	00001
20170908	A04	1	1.970529358	1:50000	NA18870	NA19101	18870_19101	00049
20170908	A05	2	2.555549116	1:50000	NA18870	NA19101	18870_19101	00050
20170908	A06	1	3.033883981	1:50000	NA18870	NA19101	18870_19101	00051
20170908	A07	1	3.139160863	1:50000	NA18870	NA19101	18870_19101	00006
20170908	A08	1	2.507137309	1:50000	NA18870	NA19101	18870_19101	00005
20170908	A09	1	2.774630676	1:50000	NA18870	NA19101	18870_19101	00004
20170908	A10	1	3.606597085	1:50000	NA18870	NA19101	18870_19101	00052
20170908	A11	1	3.587281576	1:50000	NA18870	NA19101	18870_19101	00053
20170908	A12	2	3.174724915	1:50000	NA18870	NA19101	18870_19101	00054
20170908	B01	0	0.476844253	1:50000	NA18870	NA19101	18870_19101	00009
20170908	B02	1	3.340062622	1:50000	NA18870	NA19101	18870_19101	00008
20170908	B03	1	2.152400191	1:50000	NA18870	NA19101	18870_19101	00007
20170908	B04	2	1.76783347	1:50000	NA18870	NA19101	18870_19101	00055
20170908	B05	1	3.828727552	1:50000	NA18870	NA19101	18870_19101	00056
20170908	B06	1	2.751179394	1:50000	NA18870	NA19101	18870_19101	00057
20170908	B07	1	3.579747881	1:50000	NA18870	NA19101	18870_19101	00012
20170908	B08	1	3.525292825	1:50000	NA18870	NA19101	18870_19101	00011
20170908	B09	1	3.603766163	1:50000	NA18870	NA19101	18870_19101	00010
20170908	B10	1	2.805248835	1:50000	NA18870	NA19101	18870_19101	00058
20170908	B11	1	3.171272893	1:50000	NA18870	NA19101	18870_19101	00059
20170908	B12	1	3.300169578	1:50000	NA18870	NA19101	18870_19101	00060
20170908	C01	1	4.103595899	1:50000	NA18870	NA19101	18870_19101	00015
20170908	C02	1	2.621954711	1:50000	NA18870	NA19101	18870_19101	00014
20170908	C03	1	2.818326771	1:50000	NA18870	NA19101	18870_19101	00013
20170908	C04	1	0.708723975	1:50000	NA18870	NA19101	18870_19101	00061
20170908	C05	1	2.956363021	1:50000	NA18870	NA19101	18870_19101	00062
20170908	C06	1	2.268008958	1:50000	NA18870	NA19101	18870_19101	00063
20170908	C07	1	2.693699277	1:50000	NA18870	NA19101	18870_19101	00018
20170908	C08	1	2.763552401	1:50000	NA18870	NA19101	18870_19101	00017
20170908	C09	1	0.892350945	1:50000	NA18870	NA19101	18870_19101	00016
20170908	C10	1	1.928504143	1:50000	NA18870	NA19101	18870_19101	00064
20170908	C11	1	1.777097279	1:50000	NA18870	NA19101	18870_19101	00065
20170908	C12	1	0.366577965	1:50000	NA18870	NA19101	18870_19101	00066
20170908	D01	1	0.80895733	1:50000	NA18870	NA19101	18870_19101	00021
20170908	D02	1	2.759959989	1:50000	NA18870	NA19101	18870_19101	00020
20170908	D03	2	1.692533615	1:50000	NA18870	NA19101	18870_19101	00019
20170908	D04	1	2.45744164	1:50000	NA18870	NA19101	18870_19101	00067
20170908	D05	1	3.936408577	1:50000	NA18870	NA19101	18870_19101	00068
20170908	D06	1	2.100392253	1:50000	NA18870	NA19101	18870_19101	00069
20170908	D07	1	2.439711949	1:50000	NA18870	NA19101	18870_19101	00024
20170908	D08	1	0.585470256	1:50000	NA18870	NA19101	18870_19101	00023
20170908	D09	1	1.579492247	1:50000	NA18870	NA19101	18870_19101	00022
20170908	D10	1	1.272825018	1:50000	NA18870	NA19101	18870_19101	00070
20170908	D11	1	1.172856684	1:50000	NA18870	NA19101	18870_19101	00071
20170908	D12	1	0.244453578	1:50000	NA18870	NA19101	18870_19101	00072
20170908	E01	1	3.641049138	1:50000	NA18870	NA19101	18870_19101	00025
20170908	E02	1	3.269399454	1:50000	NA18870	NA19101	18870_19101	00026
20170908	E03	1	1.875647118	1:50000	NA18870	NA19101	18870_19101	00027
20170908	E04	1	0.661490846	1:50000	NA18870	NA19101	18870_19101	00075
20170908	E05	1	2.82979667	1:50000	NA18870	NA19101	18870_19101	00074
20170908	E06	1	1.369753076	1:50000	NA18870	NA19101	18870_19101	00073
20170908	E07	1	0.629876439	1:50000	NA18870	NA19101	18870_19101	00028
20170908	E08	1	1.866320437	1:50000	NA18870	NA19101	18870_19101	00029
20170908	E09	3	0.580120038	1:50000	NA18870	NA19101	18870_19101	00030
20170908	E10	1	0.92579047	1:50000	NA18870	NA19101	18870_19101	00078
20170908	E11	1	1.076211892	1:50000	NA18870	NA19101	18870_19101	00077
20170908	E12	1	0.15210085	1:50000	NA18870	NA19101	18870_19101	00076
20170908	F01	1	2.026422918	1:50000	NA18870	NA19101	18870_19101	00031
20170908	F02	1	1.716335743	1:50000	NA18870	NA19101	18870_19101	00032
20170908	F03	1	2.366308872	1:50000	NA18870	NA19101	18870_19101	00033
20170908	F04	1	2.141376041	1:50000	NA18870	NA19101	18870_19101	00081
